smiles,pxr,null,pxr_pap,fxr,pparg,lxra,rxra,vdr
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(C#N)cc2)cc1O,,,,,5.92,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(C(F)(F)F)cc2)cc1O,,,,,5.09,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(C=O)cc2)cc1O,,,,,6.05,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(Cl)cc2)cc1O,,,,,6.27,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(F)cc2)cc1O,,,,,5.295,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(O)cc2)cc1O,,,,,6.029999999999999,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cccc(C(F)(F)F)c2)cc1O,,,,,5.79,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccccc2)cc1O,,,,,5.6850000000000005,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccoc2)cc1O,,,,,5.745,,,
CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccsc2)cc1O,,,,,5.609999999999999,,,
CC(C)=CCCC(C)CC(=O)Nc1ccccc1C1CNC(=O)C1,5.16,3.01,,,,,,
CC(C)=CCCC1=C[C@@H](C/C(C)=C/CC/C(C)=C/CC2=CC(=O)C=C(C)C2=O)OC1=O,,,,5.23,,,,
CC(C)=CCCC1=C[C@@H](C/C(C)=C/CC[C@@]2(C)C=Cc3cc(O)cc(C)c3O2)OC1=O,,,,5.82,,,,
CC(C)=CCCC1=C[C@@H](C/C(C)=C/CC[C@]2(C)C=Cc3cc(O)cc(C)c3O2)OC1=O,,,,5.6,,,,
CC(C)=CCC[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C,,,,,,7.52,,
CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O)C[C@]12C,,,,,4.27,,,
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)[C@@]1(C(=O)C(C)C)C2=O,,,7.57,,,,,
CC(C)=CCN(C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,,,,,,,6.59,
CC(C)=CCOc1cc(OCC=C(C)C)c2c(=O)cc(-c3ccccc3)oc2c1,,,,,6.43,,,
CC(C)=CCOc1cc(OCc2ccccc2)c2c(=O)cc(-c3ccccc3)oc2c1,,,,,5.484999999999999,,,
CC(C)=CCOc1cc2c(=O)c3c(O)cc(O)cc3oc2cc1O,,,,,,,4.85,
CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1,,,6.0649999999999995,,,,,
CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)cc2c1OC(C(C)(C)O)C2,,,,,,,6.11,
CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)cc2c1OC(C)(C)C(O)C2,,,,,,,6.11,
CC(C)=C[C@@H]1C[C@@H]([C@@H]2CC[C@]3(C)C4=CC[C@H]5C(C)(C)C(=O)CC[C@]5(C)[C@H]4CC[C@@]23C)[C@H](O)O1,,,,,,5.8,,
CC(C)=Cc1cc2c(cc1N)N[C@@H](CC(C)C)C(=O)N(CCC(C)C)C2,,,,,,,,4.67
CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,,,,6.75,,
CC(C)C(=O)N(CCCN1CCCC1)C1CCCN(C(=O)COc2ccc(F)cc2)C1,3.87,,,,,,,
CC(C)C(=O)N1CCC(C[C@@H](c2nc3cc(F)ccc3n2C)N2C(=O)CN(c3ccc(Oc4ccccc4)cc3)C2=O)CC1,,,,8.345,,,,
CC(C)C(=O)N1CCC(C[C@@H](c2nc3ccc(Cl)cc3n2C)N2C(=O)CN(c3ccc(Oc4ccccc4)cc3)C2=O)CC1,,,,8.595,,,,
CC(C)C(=O)N1CCC(C[C@@H](c2nc3ccc(F)cc3n2C)N2C(=O)CN(c3ccc(Oc4ccc(F)cc4)cc3)C2=O)CC1,,,,8.620000000000001,,,,
CC(C)C(=O)N1CCC(C[C@@H](c2nc3ccc(F)cc3n2C2CC2)N2C(=O)CN(c3ccc(Oc4ccc(F)cc4)cc3)C2=O)CC1,,,,8.89,,,,
CC(C)C(=O)N1CCC(C[C@@H](c2nc3ccccc3n2C)N2C(=O)CN(c3ccc(Oc4ccccc4)cc3)C2=O)CC1,,,,7.42,,,,
CC(C)C(=O)N1CCC(C[C@@H](c2nc3ccccc3n2C2CC2)N2C(=O)CN(c3ccc(Oc4ccc(F)cc4)cc3)C2=O)CC1,,,,7.795,,,,
CC(C)C(=O)N1CCCN(c2ccnc(Cc3ccc(F)cc3)n2)CC1,5.68,1.82,,,,,,
CC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)Nc1cccc(Oc2ccc(C#N)cc2)c1,5.42,2.12,,,,,,
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,4.18,2.06,,,,,,
CC(C)C(=O)Nc1ccc2c(c1)N=C(c1ccc(C(=O)O)cc1)c1cc3c(cc1N2C)C(C)(C)CCC3(C)C,,,,,,,5.484999999999999,
CC(C)C(=O)Nc1cccc(C(=O)NCc2noc(-c3ccco3)n2)c1,3.9,,,,,,,
CC(C)C(=O)Nc1nc(CC(=O)N2CCCN(C)c3cc(F)ccc32)cs1,5.7,,,,,,,
CC(C)C(=O)O,1.85,,,,,,,
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,,,5.04,,,,,
CC(C)C(=O)OCCS(=O)(=O)NC(=O)c1ccc(N2C[C@@H]3C[C@H]2C[C@H]3OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)cc1,,,,9.4,,,,
CC(C)C(=O)O[C@@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(C)C)CC[C@]5(C(=O)NCC(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,,,,5.34,,,,
CC(C)C(=O)[C@@H](O)C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,,,,7.05,,,,
CC(C)C(C)(NCc1cn(C(C)(C)C)nn1)c1ccc(Br)cc1,5.62,1.84,,,,,,
CC(C)C(CNC(=O)Cn1nnn(C2CCC2)c1=O)c1ccccc1,4.95,1.91,,,,,,
CC(C)C(CNC(=O)N1CCN(C(=O)C(C)(C)C)CC1)Cc1ccccc1,5.57,1.86,,,,,,
CC(C)C(COc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccc1,,,,,6.26,,,
CC(C)C(Cc1ccc(F)cc1)N(C)C(=O)Cc1ncccc1F,5.21,3.34,,,,,,
CC(C)C(NC(=O)C1CC12CCc1ccccc12)c1nc(C2CC2)no1,5.33,5.64,,,,,,
CC(C)C(NC(=O)CN1Cc2cccnc2N2C[C@H](O)C[C@H]2C1)c1ccc2c(c1)OCCO2,5.09,3.07,,,,,,
CC(C)C(NC(=O)c1cc(C(F)F)n(C)n1)c1nnc2ccccn12,4.32,,,,,,,
CC(C)C(NC(=O)c1ccc(-c2ccccc2Cl)o1)c1ncnn1C,4.87,,,,,,,
CC(C)C(NS(=O)(=O)C1CCOC1)c1ccc(F)cc1F,4.97,2.05,,,,,,
CC(C)C(O)Cc1ccccc1-c1ccc2c(c1)C(=O)NCCO2,4.94,,,,,,,
CC(C)C(Oc1ccc(-c2cccc3ccccc23)cc1)C(=O)O,,,,,4.94,,,
CC(C)C1(C(=O)O)CC1C(=O)NC(C)(C)Cc1ccc(C#N)cc1,4.41,,,,,,,
CC(C)C1(C(=O)[O-])CC1C(=O)NC(C)(C)Cc1ccc(C#N)cc1,,2.28,,,,,,
CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,,,,,6.16,,,
CC(C)C1=CC(C)(C)Oc2cc(OCCCOc3ccc(CC(C)(C)C(=O)O)cc3)c(Cl)cc21,,,,,5.73,,,
CC(C)C1CCC(C(=O)N2CCN(c3ccc(CCO)c(S(C)(=O)=O)c3)C[C@@H]2c2ccccc2)CC1,,,,,,6.88,,
CC(C)C1CCC(C(=O)N2CCN(c3ccc(CCO)c(S(C)(=O)=O)c3)C[C@H]2c2ccccc2)CC1,,,,,,4.51,,
CC(C)C1CCC(C(=O)N2CCN(c3cccc(S(C)(=O)=O)c3)C[C@@H]2c2ccccc2)CC1,,,,,,5.64,,
CC(C)C1CCc2ccccc2C1NC(=O)CS(=O)(=O)C(C)(C)C,5.58,1.85,,,,,,
CC(C)C1CCc2ccccc2N1C(=O)Cn1ncc(=O)c2ccccc21,6.845,4.09,,,,,,
CC(C)C1CCc2ccccc2N1C(=O)c1csc(-c2cnn(C)c2)n1,5.56,1.8,,,,,,
CC(C)C1CN(C(=O)c2ccc(C#N)s2)c2ccccc2N1,5.52,,,,,,,
CC(C)C1CN(Cc2ccc3c(-c4cnn(C)c4)cc(C(N)=O)nc3c2)CCO1,,,4.54,,,,,
CC(C)C1c2ccccc2CCN1c1cncc(C#N)n1,5.95,2.9,,,,,,
CC(C)C1c2ccccc2CCN1c1ncc(C#N)cc1F,5.02,1.93,,,,,,
CC(C)C1c2nc3ccc(S(C)(=O)=O)cc3n2CCN1c1ncc(C(C)(C)O)c(C(F)(F)F)n1,,,,,,5.8,,
CC(C)C1c2nc3ccc(S(C)(=O)=O)cc3n2CCN1c1ncc(CO)c(C(F)(F)F)n1,,,,,,5.81,,
CC(C)C1c2nc3ccc(S(C)(=O)=O)cc3n2CCN1c1nccc(C(F)(F)F)n1,,,,,,5.75,,
CC(C)C1c2nn(-c3ccc(CO)c(S(C)(=O)=O)c3)cc2CN1c1ncc(CO)c(C(F)(F)F)n1,,,,,,5.865,,
CC(C)CC(=O)N1CCN(Cc2cccc(F)c2)CC1,3.11,,,,,,,
CC(C)CC(=O)Nc1ccc(N(C)C)c(CN(Cc2ccccc2)S(=O)(=O)c2ccc(F)cc2)c1,,,,5.24,,,,
CC(C)CC(=O)Nc1ccc(NCc2cccc3nnn(C)c23)cc1,5.2,2.37,,,,,,
CC(C)CC(=O)O,2.9,,,,,,,
CC(C)CC(CNC(=O)C(C)N1CCSCC1)NC(=O)c1ccc([N+](=O)[O-])s1,5.22,2.7,,,,,,
CC(C)CC(Cc1ccccc1)Nc1ccc(P(C)(C)=O)cn1,5.48,2.42,,,,,,
CC(C)CC1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,,,,,6.34,,,
CC(C)CC1(CO)CCCN1C(=O)NCC(C)(C)c1cccs1,5.62,3.67,,,,,,
CC(C)CC1(c2nc(-c3ccccc3F)no2)CCNC1=O,5.51,3.09,,,,,,
CC(C)CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(C(C)C)cc1,,,,,,,5.5,
CC(C)CC1C(=O)NCCN1S(=O)(=O)c1c(Cl)ccc(F)c1F,4.89,4.46,,,,,,
CC(C)CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,4.55,,,,,
CC(C)CCCCN1C(=O)C(CCOc2ccccc2CC(=O)O)Oc2ccccc21,,,,,7.1,,,
CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,,,,6.33,,
CC(C)CCN,1.82,,,,,,,
CC(C)CCN(Cc1ccc(Cl)c(Cl)c1)C(=O)c1csc(-c2nnc[nH]2)n1,5.6,,,,,,,
CC(C)CCN(Cc1ccc(Cl)cc1)Cc1ccc([N+](=O)[O-])s1,,,,,,4.8,,
CC(C)CCN1Cc2cc(-c3ccccc3)c(N)cc2N[C@@H](CC(C)C)C1=O,,,,,,,,4.62
CC(C)CCN1Cc2cc(CC(C)C)c(N)cc2N[C@@H](CC(C)C)C1=O,,,,,,,,4.52
CC(C)CCN1Cc2cc(CC(C)C)c(NCCN)cc2N[C@@H](CC(C)C)C1=O,,,,,,,,4.55
CC(C)CCN1Cc2cc(CC(C)C)c(NCCNC(=O)OC(C)(C)C)cc2N[C@@H](CC(C)C)C1=O,,,,,,,,4.89
CC(C)CCN1Cc2cc(I)c(N)cc2N[C@@H](CC(C)C)C1=O,,,,,,,,4.52
CC(C)CCNc1cc(Cl)nc(SC(C(=O)O)c2cccc3ccccc23)n1,,,,,5.05,,,
CC(C)CCOC(=O)C1C(c2ccccc2)C(C(=O)O)C1c1ccccc1,,,,,5.32,,,
CC(C)CCOc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,,,,6.67,,,,
CC(C)CCOc1ccc(S(=O)(=O)N2CC(=O)Nc3ccccc32)cc1,5.36,,,,,,,
CC(C)CCOc1cccc(C(=O)Nc2cccc(C(=O)O)c2)c1,,,,5.56,,,,
CC(C)CCS(=O)(=O)NC(=O)/C=C/c1cc(OC(C)C)nn1Cc1ccc(C(F)(F)F)cc1Cl,,,,,7.95,,,
CC(C)CCS(=O)(=O)NC(=O)CCc1cc(OC(C)C)nn1Cc1ccc(Cl)cc1Cl,,,,,7.77,,,
CC(C)CCS(=O)(=O)NC(=O)c1ccc(N2C[C@@H]3C[C@H]2C[C@H]3OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)c(F)c1,,,,8.4,,,,
CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,,,,5.92,,
CC(C)CC[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,,,,6.75,,
CC(C)CCn1ccc(NC(=O)NCC2CCC3(CCCC3)O2)n1,5.71,2.02,,,,,,
CC(C)CN(C(=O)c1c(Cl)cccc1Cl)c1ccc(-c2ccc(OCC(=O)O)c(F)c2)cc1,,,,5.85,,,,
CC(C)CN(CC(C)C)c1ccc(-c2ccccc2C(=O)O)cc1NC(=O)Nc1ccccc1F,,,5.68,,,,,
CC(C)CN(CC(O)c1ccc(F)cc1)C(=O)NCC1CC(=O)Nc2ccccc21,5.04,2.24,,,,,,
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,4.81,3.87,,,,,,
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,4.49,3.1,,,,,,
CC(C)CN(Cc1ccc(-c2ccc(NS(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1,,,,,,5.44,,
CC(C)CN(Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1,,,5.52,5.62,,5.64,,
CC(C)CN(Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)s1)S(=O)(=O)Cc1ccccc1,,,,,,5.43,,
CC(C)CN(Cc1ccc(-c2cccc(S(C)(=O)=O)c2)s1)S(=O)(=O)Cc1ccccc1,,,,,,5.055,,
CC(C)CN(Cc1cccc(F)c1)C(=O)CCc1cncnc1,4.73,2.89,,,,,,
CC(C)CN(Cc1cnn(C)c1)C(=O)c1cccc(-c2ccsc2)c1,5.11,1.84,,,,,,
CC(C)CN(c1ccc(-c2ccc(C(=O)O)cc2)cc1)S(=O)(=O)c1c(Cl)cccc1Cl,,,,5.46,,,,
CC(C)CN(c1ccc(-c2ccc(CC(=O)O)cc2)cc1)S(=O)(=O)c1c(Cl)cccc1Cl,,,,5.42,,,,
CC(C)CN(c1ccc(-c2ccc(CCC(=O)O)cc2)cc1)S(=O)(=O)c1c(Cl)cccc1Cl,,,,5.19,,,,
CC(C)CN(c1ccc(-c2ccc(OC(C)C(=O)O)c(F)c2)cc1)S(=O)(=O)c1c(Cl)cccc1Cl,,,,5.06,,,,
CC(C)CN(c1ccc(-c2ccc(OCC(=O)O)c(F)c2)cc1)S(=O)(=O)c1c(Cl)cccc1Cl,,,,6.12,,,,
CC(C)CN(c1ccc(-c2ccc(OCC(=O)O)cc2)cc1)S(=O)(=O)c1c(Cl)cccc1Cl,,,,6.05,,,,
CC(C)CN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1cccs1,,,,,,7.4,,
CC(C)CN(c1ccc(COc2ccc(C(=O)O)cc2)cc1)S(=O)(=O)c1c(Cl)cccc1Cl,,,,5.6,,,,
CC(C)CN1CC(CNC(=O)CCCc2c[nH]c3ccccc23)OCC1=O,5.04,2.06,,,,,,
CC(C)CN1CC(CNC(=O)c2nccc3ccccc23)OCC1=O,5.06,3.23,,,,,,
CC(C)CO/N=C/c1ccc(OC(Cc2ccccc2)C(=O)O)cc1,,,,,5.35,,,
CC(C)COC(=O)N(C)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,,,,,,7.0,,
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,,,5.23,,,,,
CC(C)COc1cc(C(=O)O)nc2ccc(-c3ccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C(C)C)cc3)cc12,,,,7.1,,,,
CC(C)COc1cc(C(=O)O)nc2ccc(OCC34CCC(OCc5c(-c6c(Cl)cncc6Cl)noc5C5CC5)(CC3)CC4)cc12,,,,7.75,,,,
CC(C)COc1ccc(-c2nnc(-c3ccc(C(=O)O)cc3)o2)cc1,,,,6.69,,,,
CC(C)COc1ccc(-c2nnc(-c3ccc(C(=O)O)cc3)s2)cc1,,,,6.85,,,,
CC(C)COc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,,,,6.45,,,,
CC(C)COc1ccc(Cl)cc1-c1ccccc1-c1cccc(C(=O)O)n1,,,,,5.15,,,
CC(C)COc1ccc2c(c1)c(Oc1cccc(C(F)(F)F)c1)c(C(=O)O)n2-c1ccc(C(C)(C)C)cc1,,,,,7.395,,,
CC(C)COc1cccc(C(=O)Nc2cccc(C(=O)O)c2)c1,,,,5.95,,,,
CC(C)COc1ccccc1NC(=O)c1ccc(C(N)=O)s1,5.18,1.87,,,,,,
CC(C)CS(=O)(=O)c1oc(-c2cccs2)nc1S(=O)(=O)c1ccc(F)cc1,,,,,,,,5.1850000000000005
CC(C)C[C@@H](NC(=O)c1cccc(-c2ncc[nH]2)c1)C(N)=O,3.32,,,,,,,
CC(C)C[C@@H](c1nc2ccc(C(=O)O)cc2n1C)N1C(=O)CN(c2ccc(-c3ccccc3)cc2)C1=O,,,,4.64,,,,
CC(C)C[C@@H](c1nc2ccc(C(=O)O)cc2n1C)N1C(=O)CN(c2ccc(Oc3ccc(Cl)cc3)cc2)C1=O,,,,5.59,,,,
CC(C)C[C@@H](c1nc2ccc(C(=O)O)cc2n1C)N1C(=O)CN(c2ccc(Oc3ccccc3)cc2)C1=O,,,,4.36,,,,
CC(C)C[C@@H](c1nc2ccc(C(=O)O)cc2n1C)N1C(=O)CN(c2cccc(Oc3ccccc3)c2)C1=O,,,,4.74,,,,
CC(C)C[C@@H](c1nc2ccc(C(=O)O)cc2n1C)N1CCN(c2ccc(Oc3ccccc3)cc2)C1=O,,,,4.54,,,,
CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)C(C)(C)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(C)C)CCOCC(O)C(O)COCC[C@@H](C(=O)O)NC1=O,,,,,,,,5.5
CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,,,5.04,,,,,
CC(C)C[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)O,,,,,4.59,,,
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,1.83,1.82,,,,,,
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)N)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)[C@@H](C)O,,,,,7.1,,,
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,5.13,5.03,,,,,,
CC(C)C[C@H](O)C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,,,,5.23,,
CC(C)C[C@H](c1nc2ccc(C(=O)O)cc2n1C)N1C(=O)CN(c2ccc(Oc3ccccc3)cc2)C1=O,,,,5.18,,,,
CC(C)C[C@H]1CN(c2nc3ccc(Cl)cc3s2)CCC1CCOc1cc(CC(=O)O)ccc1Cl,,,,,5.96,,,
CC(C)Cc1cc(C(=O)N2C[C@H]3CC=CC[C@H]3C2)on1,4.64,,,,,,,
CC(C)Cc1cc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(N)=O)nc(=O)[nH]1,2.37,,,,,,,
CC(C)Cc1cc(C(F)(F)F)nc(N2CCN(c3ccc(F)c(S(C)(=O)=O)c3)C[C@H]2C(C)C)n1,,,,,,5.93,,
CC(C)Cc1cc(CNS(=O)(=O)c2cc(C(N)=O)cs2)on1,4.01,,,,,,,
CC(C)Cc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,,,,,6.32,,,
CC(C)Cc1cc(Oc2ccccc2)ccc1OCCCOc1ccc([C@@H]2SC(=O)NC2=O)cc1,,,,,6.32,,,
CC(C)Cc1ccc(C(C)C(=O)OCc2ccc(CC(SCCc3ccc(F)cc3)C(=O)O)cc2)cc1,,,,,6.03,,,
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,3.68,2.22,,,,,,
CC(C)Cc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,,,,,5.52,,,
CC(C)Cc1nc(C(=O)N2CC(O)CC2c2ccccc2)cs1,4.44,3.94,,,,,,
CC(C)Cc1nc(CN(C)S(=O)(=O)C2CCS(=O)(=O)C2)no1,4.19,,,,,,,
CC(C)Cc1nc(CNC(=O)c2ccncc2F)no1,3.29,,,,,,,
CC(C)Cc1nc2c(C(F)(F)F)cccc2n1-c1cccc(Oc2cccc(S(C)(=O)=O)c2)c1,,,,,,9.1,,
CC(C)Cc1ncc(C(=O)N2CCC(=O)N(C)c3ccccc32)s1,5.33,1.95,,,,,,
CC(C)Cc1ncc(C(=O)N[C@@H]2c3ccccc3C[C@@H]2O)s1,4.86,2.18,,,,,,
CC(C)Cn1c(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C(C)C)cc2)nc2ccc(C(=O)O)cc21,,,,7.945,,,,5.93
CC(C)Cn1c(CC(C)(O)c2ccccc2)nnc1N1CCSCC1,5.19,2.98,,,,,,
CC(C)Cn1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)cn1,4.95,1.89,,,,,,
CC(C)Cn1cc(C(=O)NCC2CCCC(C)(C)O2)cn1,4.78,1.94,,,,,,
CC(C)Cn1cc(NC(=O)N2CC[C@H](Oc3ccccc3)C2)cn1,4.15,3.16,,,,,,
CC(C)Cn1ccc2cc(C(=O)NCc3ccc(CS(=O)(=O)C4CC4)cc3C(F)(F)F)ccc21,,,,,6.7,,,
CC(C)Cn1cccc(-c2nc(-c3coc(C4CCC4)n3)no2)c1=O,5.2,2.01,,,,,,
CC(C)Cn1ccnc1NC(=O)c1cc2cccn2cn1,4.21,2.9,,,,,,
CC(C)Cn1cnc(S(=O)(=O)N2CC(=O)Nc3ccccc32)c1,4.64,3.49,,,,,,
CC(C)Cn1cncc1CNC(=O)c1cncc(F)c1,3.16,,,,,,,
CC(C)Cn1ncc2cc(C(=O)NCC[C@H]3CCCC[C@H]3O)cnc21,4.79,1.95,,,,,,
CC(C)N(C(=O)c1ccnn1C(C)C)c1ccc(Br)cn1,5.1,1.9,,,,,,
CC(C)N(C(=O)c1n[nH]c2ccccc2c1=O)c1ccc(Cl)cc1,4.78,4.24,,,,,,
CC(C)N(C(=O)c1nn(-c2ccc(F)cc2)ccc1=O)c1cccc(F)c1,4.72,2.0,,,,,,
CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,,,5.39,,,,,
CC(C)N(C)S(=O)(=O)c1cccc(C(=O)NCC2(c3ccccn3)CCC2)c1,5.67,2.3,,,,,,
CC(C)N(C)c1ccccc1NS(=O)(=O)c1cnn(C2CCC2)c1,6.494999999999999,2.4,,,,,,
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,4.87,4.0,5.949999999999999,,,,,
CC(C)N(CCCCOCC(=O)O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,,,4.98,,,,,
CC(C)N(CCN)C(C)C,2.73,,,,,,,
CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,2.45,,,,,,,
CC(C)N(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1nc2ccccc2s1,,,,,5.49,,,
CC(C)N(Cc1ccc(CCC(=O)O)cc1)C(=O)c1cccc(CNC(=O)c2ccccc2)c1,,,,,4.41,,,
CC(C)N(Cc1nc2ccccc2c(=O)[nH]1)C(=O)Cc1cccc(C(F)(F)F)c1,5.72,5.44,,,,,,
CC(C)N1CCC(NS(=O)(=O)CC2OCCC2(C)C)C1=O,4.8,2.43,,,,,,
CC(C)N1CCC(n2cc(COc3ccccc3Cl)nn2)C1=O,5.03,3.76,,,,,,
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,,4.949999999999999,,,,,
CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.16,3.08,,,,,,
CC(C)N1CCOC(CC(=O)N(C)CCN2CCCC2)C1,2.5,,,,,,,
